Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Bean
Origin",Flavour Rating
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2,Criollo,Peru,Dissapointing
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2, ,Dominican Republic,Dissapointing
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,3, ,Dominican Republic,Satisfactory
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2, ,Venezuela,Dissapointing
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3,"Trinitario, Criollo",Haiti,Satisfactory
Cacao Barry,Santo Domingo,586,2010,70%,France,3, ,Dominican Republic,Satisfactory
Cacao Barry,Tanzania,300,2008,75%,France,2, ,Tanzania,Dissapointing
Cacao Barry,Venezuela,141,2007,72%,France,2, ,Venezuela,Dissapointing
Cacao Barry,Mexico,147,2007,66%,France,3, ,Mexico,Satisfactory
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3,Trinitario,Venezuela,Satisfactory
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3,Trinitario,Venezuela,Satisfactory
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2, ,Venezuela,Dissapointing
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3, ,Venezuela,Satisfactory
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3,Trinitario,Venezuela,Satisfactory
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela,Praiseworthy
Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3, ,Venezuela,Satisfactory
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75, ,Colombia,Praiseworthy
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75, ,Colombia,Praiseworthy
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75, ,Colombia,Praiseworthy
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3, ,Colombia,Satisfactory
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3, ,Colombia,Satisfactory
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,3, ,Colombia,Satisfactory
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3, ,Colombia,Satisfactory
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3,Trinitario,Honduras,Satisfactory
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic,Praiseworthy
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3, ,Dominican Republic,Satisfactory
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3, ,Dominican Republic,Satisfactory
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3,Criollo,Congo,Satisfactory
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3,Trinitario,Madagascar,Satisfactory
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75, ,Ecuador,Praiseworthy
Cacao Sampaka,Papua,523,2010,71%,Spain,4, ,Papua New Guinea,Premium
Cacao Sampaka,Grenada,537,2010,71%,Spain,3,Trinitario,Grenada,Satisfactory
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3, ,Venezuela,Satisfactory
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3, ,Venezuela,Satisfactory
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico,Premium
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico,Premium
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar,Satisfactory
Cacao Store,Peru,1684,2015,70%,Japan,3, ,Peru,Satisfactory
Cacao Store,Vietnam,1684,2015,70%,Japan,3,Trinitario,Vietnam,Satisfactory
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3, ,Peru,Satisfactory
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2,Forastero (Arriba),Ecuador,Dissapointing
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1,Forastero (Arriba),Ecuador,Unpleasant
Callebaut,Grenade,296,2008,60%,Belgium,3,Trinitario,Grenada,Satisfactory
Callebaut,Baking,141,2007,70%,Belgium,1, ,Ecuador,Unpleasant
C-Amaro,Cuba,1442,2014,75%,Italy,2, ,Cuba,Dissapointing
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3, ,Dominican Republic,Satisfactory
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3,Blend,Unspecified,Satisfactory
C-Amaro,Ecuador,1185,2013,100%,Italy,3, ,Ecuador,Satisfactory
C-Amaro,Venezuela,809,2012,80%,Italy,3, ,Venezuela,Satisfactory
C-Amaro,Sao Tome,749,2011,78%,Italy,2,Forastero,Sao Tome,Dissapointing
C-Amaro,Trinidad,765,2011,70%,Italy,2,Trinitario,Trinidad,Dissapointing
Cao,Porcelana,1804,2016,75%,U.S.A.,2,Criollo,Venezuela,Dissapointing
Cao,Tanzania,1804,2016,73%,U.S.A.,3, ,Tanzania,Satisfactory
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3,Criollo,Venezuela,Satisfactory
Cao,Bolivia,1808,2016,75%,U.S.A.,3, ,Bolivia,Satisfactory
Cao,Brazil,1808,2016,70%,U.S.A.,3,Trinitario,Brazil,Satisfactory
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador,Dissapointing
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador,Dissapointing
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3,Trinitario,Papua New Guinea,Satisfactory
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75, ,Papua New Guinea,Praiseworthy
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3, ,Guatemala,Satisfactory
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3, ,Costa Rica,Satisfactory
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3, ,Costa Rica,Satisfactory
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica,Satisfactory
Caribeans,Costa Rica,845,2012,80%,Costa Rica,3,Forastero,Costa Rica,Satisfactory
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia,Satisfactory
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3,Trinitario,Colombia,Satisfactory
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3,Trinitario,Colombia,Satisfactory
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3,Trinitario,Colombia,Satisfactory
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3,CCN51,Colombia,Satisfactory
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize,Premium
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3,Trinitario,Honduras,Satisfactory
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic,Praiseworthy
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3, ,Venezuela,Satisfactory
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3,"Criollo, Trinitario",Colombia,Satisfactory
Castronovo,Arauca,1371,2014,76%,U.S.A.,3,"Criollo, Trinitario",Colombia,Satisfactory
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,3,Trinitario,Dominican Republic,Satisfactory
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia,Satisfactory
Castronovo,Conacado,1101,2013,73%,U.S.A.,3,Trinitario,Dominican Republic,Satisfactory
Castronovo,San Martin,1105,2013,70%,U.S.A.,2,Criollo,Peru,Dissapointing
Castronovo,"Guaniamo, Amazonas",1105,2013,70%,U.S.A.,3, ,Venezuela,Satisfactory
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3,Trinitario,Nicaragua,Satisfactory
Castronovo,Tumbes,1153,2013,70%,U.S.A.,3,Criollo,Peru,Satisfactory
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3, ,Venezuela,Satisfactory
Cello,Ecuador,1247,2014,70%,U.S.A.,2, ,Ecuador,Dissapointing
Cello,Peru,1247,2014,70%,U.S.A.,3, ,Peru,Satisfactory
Cello,Venezuela,1251,2014,70%,U.S.A.,3, ,Venezuela,Satisfactory
Cello,Bolivia,1251,2014,70%,U.S.A.,3, ,Bolivia,Satisfactory
Cemoi,Equateur,404,2009,72%,France,3, ,Ecuador,Satisfactory
Chaleur B,Uganda,1426,2014,70%,Canada,3,Forastero,Uganda,Satisfactory
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3, ,Belize,Satisfactory
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3, ,Costa Rica,Satisfactory
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3, ,Unspecified,Satisfactory
Chocablog,Ecuador,1454,2015,70%,U.K.,3, ,Ecuador,Satisfactory
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize,Satisfactory
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3,Trinitario,Belize,Satisfactory
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,3,Trinitario,Vietnam,Satisfactory
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3,Trinitario,Malaysia,Satisfactory
Chocolarder,Peru,1482,2015,65%,U.K.,2,Criollo,Peru,Dissapointing
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,3,Criollo,Peru,Satisfactory
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2, ,Dominican Republic,Dissapointing
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75, ,Venezuela,Praiseworthy
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2, ,Peru,Dissapointing
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2, ,Unspecified,Dissapointing
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2, ,Bolivia,Dissapointing
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,3, ,Uganda,Satisfactory
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3, ,Dominican Republic,Satisfactory
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3, ,Dominican Republic,Satisfactory
Chocolate Con Amor,Ocumare,1764,2016,80%,U.S.A.,3,Criollo (Ocumare),Venezuela,Satisfactory
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3, ,Ecuador,Satisfactory
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,3, ,Nicaragua,Satisfactory
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,3, ,Peru,Satisfactory
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3,Trinitario,Dominican Republic,Satisfactory
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3,Forastero,Congo,Satisfactory
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru,Praiseworthy
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru,Praiseworthy
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela,Praiseworthy
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru,Praiseworthy
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2,Forastero (Arriba),Ecuador,Dissapointing
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,3,Criollo,Peru,Satisfactory
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3,Criollo,Madagascar,Satisfactory
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2,Criollo,Mexico,Dissapointing
ChocoReko,Patanemo,1454,2015,77%,Japan,3,Criollo,Venezuela,Satisfactory
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3, ,Mexico,Satisfactory
Chocovic,Xoconusco,478,2010,71%,Spain,3,Criollo,Mexico,Satisfactory
Chocovic,Sambirano,478,2010,71%,Spain,3,Trinitario,Madagascar,Satisfactory
Chocovic,Kendari,439,2009,60%,Spain,3, ,Unspecified,Satisfactory
Chocovic,Tarakan,439,2009,75%,Spain,3, ,Unspecified,Satisfactory
Chocovic,Ocumare,209,2008,71%,Spain,3,Criollo,Venezuela,Satisfactory
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2,Forastero (Arriba),Ecuador,Dissapointing
Chocovic,Guyave,117,2007,71%,Spain,2,Trinitario,Grenada,Dissapointing
Chocovic,Maragda,117,2007,70%,Spain,3,Blend,Unspecified,Satisfactory
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2,Trinitario,Mexico,Dissapointing
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2,Trinitario,Mexico,Dissapointing
Choklat,Ocumare,377,2009,80%,Canada,2,Criollo,Venezuela,Dissapointing
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,3,Criollo,Mexico,Satisfactory
Choklat,Brazilian,377,2009,70%,Canada,3, ,Brazil,Satisfactory
Choklat,Brazilian,377,2009,80%,Canada,3, ,Brazil,Satisfactory
Choklat,Ocumare,377,2009,70%,Canada,3,Criollo,Venezuela,Satisfactory
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,3, ,Martinique,Satisfactory
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3, ,Mexico,Satisfactory
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru,Praiseworthy
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3,Criollo,Venezuela,Satisfactory
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,3,Trinitario,Venezuela,Satisfactory
Claudio Corallo,Terreiro Velho P.,470,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe,Praiseworthy
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe,Satisfactory
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe,Premium
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe,Unpleasant
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3, ,Ecuador,Satisfactory
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70%,Argentina,3, ,Venezuela,Satisfactory
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80%,Argentina,3,Trinitario,Venezuela,Satisfactory
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3, ,Bolivia,Satisfactory
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela,Praiseworthy
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,3,Forastero (Nacional),Ecuador,Satisfactory
Condor,Camino Verde,1630,2015,76%,U.S.A.,3, ,Ecuador,Satisfactory
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78%,U.S.A.,3,Trinitario,Vietnam,Satisfactory
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3,Forastero (Nacional),Ecuador,Satisfactory
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3,Forastero,Ghana,Satisfactory
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1, ,Ecuador,Unpleasant
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe,Praiseworthy
Coppeneur,Madagascar,959,2012,70%,Germany,3,Trinitario,Madagascar,Satisfactory
Coppeneur,Grenada,470,2010,72%,Germany,3,Trinitario,Grenada,Satisfactory
Coppeneur,Chuao,478,2010,70%,Germany,3,Trinitario,Venezuela,Satisfactory
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2,Nacional,Ecuador,Dissapointing
Coppeneur,Trinidad,558,2010,72%,Germany,3,Trinitario,Trinidad,Satisfactory
Coppeneur,Jamaica,558,2010,72%,Germany,3,Trinitario,Jamaica,Satisfactory
Coppeneur,Ocumare 61,558,2010,72%,Germany,3,Criollo (Ocumare 61),Venezuela,Satisfactory
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru,Satisfactory
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3,Criollo,Peru,Satisfactory
Coppeneur,Chuao 100hr,451,2009,70%,Germany,3,"Criollo, Trinitario",Venezuela,Satisfactory
Coppeneur,Chuao 70hr,451,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela,Praiseworthy
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3,Criollo,Mexico,Satisfactory
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3,Criollo (Porcelana),Venezuela,Satisfactory
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar,Satisfactory
Cote d' Or (Kraft),Sensations Intense,48,2006,70%,Belgium,1, ,Unspecified,Unpleasant
Cravve,New Ireland,1283,2014,70%,Australia,2,Forastero,Papua New Guinea,Dissapointing
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,3,Trinitario,Vanuatu,Satisfactory
Cravve,"Tanzania, batch a1",971,2012,75%,Australia,3,Forastero,Tanzania,Satisfactory
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3,Trinitario,Brazil,Satisfactory
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3,Trinitario,Fiji,Satisfactory
Cravve,Vanuatu,975,2012,64%,Australia,3,Trinitario,Vanuatu,Satisfactory
Cravve,Djual Island,975,2012,75%,Australia,3,Forastero,Papua New Guinea,Satisfactory
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3,Forastero (Nacional),Ecuador,Satisfactory
Creo,"""heirloom"", Arriba Nacional",1736,2016,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador,Praiseworthy
Daintree,Goodman Estate,1654,2015,70%,Australia,3, ,Australia,Satisfactory
Daintree,"Daintree Estates, N. Queensland",785,2011,70%,Australia,3, ,Australia,Satisfactory
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,3, ,Dominican Republic,Satisfactory
Damson,Robson Estate,1610,2015,70%,U.K.,3,Trinitario,Trinidad,Satisfactory
Damson,Los Rios,1610,2015,70%,U.K.,3, ,Ecuador,Satisfactory
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70%,U.K.,2, ,Grenada,Dissapointing
Damson,O'Payo,1666,2015,70%,U.K.,3, ,Nicaragua,Satisfactory
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75, ,Unspecified,Praiseworthy
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70%,U.S.A.,3,Trinitario,Belize,Satisfactory
Dandelion,Maya Mountain,1219,2014,70%,U.S.A.,3,Trinitario,Belize,Satisfactory
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3, ,Ecuador,Satisfactory
Dandelion,Buto,1303,2014,70%,U.S.A.,3, ,Liberia,Satisfactory
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70%,U.S.A.,3, ,Venezuela,Satisfactory
Dandelion,Patanemo,1026,2013,70%,U.S.A.,3, ,Venezuela,Satisfactory
Dandelion,"Mantuano, 2012",1085,2013,70%,U.S.A.,3, ,Venezuela,Satisfactory
Dandelion,Papua New Guinea,1153,2013,70%,U.S.A.,3, ,Papua New Guinea,Satisfactory
Dandelion,Upala,805,2012,70%,U.S.A.,3, ,Costa Rica,Satisfactory
Dandelion,Colombian,805,2012,70%,U.S.A.,3, ,Colombia,Satisfactory
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Dandelion,Dominican Republic,654,2011,70%,U.S.A.,3, ,Dominican Republic,Satisfactory
Dandelion,Madagascar,654,2011,70%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Dandelion,Tanzania,654,2011,70%,U.S.A.,3, ,Tanzania,Satisfactory
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3, ,Guatemala,Satisfactory
Danta,Chuao,987,2012,75%,Guatemala,3,Trinitario,Venezuela,Satisfactory
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75, ,Guatemala,Praiseworthy
Danta,Sambirano,987,2012,70%,Guatemala,3.75,Trinitario,Madagascar,Praiseworthy
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala,Premium
Danta,"Oscuro, Finca Chimelb",991,2012,70%,Guatemala,3, ,Guatemala,Satisfactory
Danta,Los Ujuxtes,661,2011,60%,Guatemala,3, ,Guatemala,Satisfactory
Danta,Las Acacias E.,423,2009,75%,Guatemala,3,Criollo,Guatemala,Satisfactory
Danta,Las Acacias E.,423,2009,60%,Guatemala,3,Criollo,Guatemala,Satisfactory
DAR,"Venezuela, batch 122",1920,2016,72%,U.S.A.,3, ,Venezuela,Satisfactory
DAR,Vietnam,1920,2016,72%,U.S.A.,3,Trinitario,Vietnam,Satisfactory
DAR,"DUO, batch 002",1920,2016,70%,U.S.A.,3, ,"Ecuador, Costa Rica",Satisfactory
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3, ,Bolivia,Satisfactory
Dark Forest,Madagascar,1550,2015,70%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Dark Forest,Ocumare,1550,2015,70%,U.S.A.,3, ,Venezuela,Satisfactory
Dark Forest,Tanzania,1554,2015,70%,U.S.A.,3, ,Tanzania,Satisfactory
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3, ,Ecuador,Satisfactory
Davis,Ghana,1093,2013,70%,U.S.A.,2,Forastero,Ghana,Dissapointing
Davis,Rainforest,1093,2013,70%,U.S.A.,3, ,Dominican Republic,Satisfactory
Davis,Venezuela,1093,2013,70%,U.S.A.,3, ,Venezuela,Satisfactory
Davis,West Africa,907,2012,58%,U.S.A.,3,Forastero,West Africa,Satisfactory
De Mendes,"Nativo, Varzea",1462,2015,72%,Brazil,3, ,Brazil,Satisfactory
De Mendes,"Selvagem, Jari",1462,2015,65%,Brazil,3, ,Brazil,Satisfactory
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2,Forastero,Uganda,Dissapointing
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3, ,Madagascar,Satisfactory
Dean and Deluca (Belcolade),Madagascar,170,2007,66%,U.S.A.,2,Trinitario,Madagascar,Dissapointing
Dean and Deluca (Belcolade),Costa Rica,175,2007,64%,U.S.A.,3, ,Costa Rica,Satisfactory
Dean and Deluca (Belcolade),Ecuador,175,2007,71%,U.S.A.,3, ,Ecuador,Satisfactory
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3,Forastero,Ghana,Satisfactory
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64%,U.S.A.,3, ,Papua New Guinea,Satisfactory
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3, ,Peru,Satisfactory
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3, ,Papua New Guinea,Satisfactory
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66%,France,3.75, ,Venezuela,Praiseworthy
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2, ,Tanzania,Dissapointing
DeVries,Bolivian,241,2008,80%,U.S.A.,3, ,Bolivia,Satisfactory
DeVries,Costa Rica,166,2007,77%,U.S.A.,3,Trinitario,Costa Rica,Satisfactory
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3, ,Dominican Republic,Satisfactory
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75, ,Guatemala,Praiseworthy
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3,Trinitario,Vietnam,Satisfactory
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75, ,Bolivia,Praiseworthy
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3, ,Dominican Republic,Satisfactory
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3, ,Ecuador,Satisfactory
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3, ,Ecuador,Satisfactory
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,3, ,Bolivia,Satisfactory
Dick Taylor,Belize,955,2012,72%,U.S.A.,3,Trinitario,Belize,Satisfactory
Dick Taylor,Sambirano,661,2011,80%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Dick Taylor,Sambirano,661,2011,72%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,3,Criollo,Venezuela,Satisfactory
Dick Taylor,La Red,769,2011,74%,U.S.A.,3, ,Dominican Republic,Satisfactory
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3, ,Ecuador,Satisfactory
Doble & Bignall,Puerto Cabello,1688,2015,85%,U.K.,3, ,Venezuela,Satisfactory
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3, ,Panama,Satisfactory
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3,Trinitario,Venezuela,Satisfactory
Doble & Bignall,Johe,1407,2014,72%,U.K.,3,"Criollo, Trinitario",Nicaragua,Satisfactory
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75, ,Hawaii,Praiseworthy
